,0,1
Unnamed: 0,,20779
alfisols,188.0,188
andisols,188.0,188
animal_pathogen,1347.0,1347
antimicrobial_susceptibility,837.0,837
biofilm_forming,441.0,441
depth/altitude,22.0,22
drylands,23.0,23
emp_a_decade_of_seasonal_dynamics_and_co-occurrences_within_freshwater_bacterioplankton_communities_from_eutrophic_lake_mendota__wi__usa,1163.0,1163
emp_african_buffalo_gut_microbiome,1163.0,1163
emp_agricultural_intensification_and_the_functional_capacity_of_soil_microbes_on_smallholder_african_farms_(kakamenga__kenya),1163.0,1163
emp_agricultural_intensification_and_the_functional_capacity_of_soil_microbes_on_smallholder_african_farms_(southwestern_kenya),1163.0,1163
emp_anaerobic_ammonium-oxidizing_bacteria_in_marine_environments:_widespread_occurrence_but_low_diversity,1163.0,1163
emp_bacterial_community_spatial_and_temporal_variation_in_a_north_temperate_bog_lake,1163.0,1163
emp_biodiversity_and_functional_patterns_of_microbial_assemblages?áin_relation_to_land-use_change_in_postglacial_pond_sediment_profiles,1163.0,1163
emp_biofilms_on_carbonate_chimneys_of_the_lost_city_hydrothermal_field_on_the_mid-atlantic_ridge,1163.0,1163
emp_biogeographical_distribution_and_diversity_of_microbes_in_methane_hydrate-bearing_deep_marine_sediments_on_the_pacific_ocean_margin,1163.0,1163
emp_biological_oxygen_demand_optode_analysis_of_coral_reef-associated_microbial_communities_exposed_to_algal_exudates,1163.0,1163
emp_bioremediation_of_hydrocarbon-contaminated_soils_from_maritime_antarctica,1163.0,1163
emp_bird_eggshells_from_spain,1163.0,1163
emp_canadian_metamicrobiome_initiative_samples,1163.0,1163
emp_catchment_sources_of_microbes,1163.0,1163
emp_catlin_arctic_survey_2010_l3,1163.0,1163
emp_changes_in_microbial_communities_along_redox_gradients_in_polygonized_arctic_wet_tundra_soils,1163.0,1163
emp_characterization_of_bird_gut_microbiome_-_gizzard__upper_intestine__lower_intestine_from_birds_in_venezuela,1163.0,1163
emp_chu_changbai_mountain_soil,1163.0,1163
emp_co-diversification_of_marine_mammals_and_their_skin_microbiomes,1163.0,1163
emp_comparative_analysis_of_the_microbial_communities_in_agricultural_soil_amended_with_enhanced_biochars_or_traditional_fertilisers,1163.0,1163
emp_continental-scale_variation_in_seaweed_host-associated_bacterial_communities_is_a_function_of_host_condition__not_geography,1163.0,1163
emp_convergence_of_gut_microbiomes_in_myrmecophagous_mammals,1163.0,1163
emp_deep_sediments_following_deepwater_horizon_oil_spill_in_gulf_of_mexico,1163.0,1163
emp_defining_seasonal_marine_microbial_community_dynamics,1163.0,1163
emp_discerning_marine_archaeal_mixotrophy_and_heterotrophy_in_the_deep_north_atlantic,1163.0,1163
emp_distinct_microbial_communities_associated_with_buried_soils_in_the_siberian_tundra,1163.0,1163
emp_ellowstone_gradients,1163.0,1163
emp_examination_of_microbial_communities_through_a_freshwater/saltwater_transition_zone_in_cenotes__ucatan__mexico,1163.0,1163
emp_exploring_links_between_ph_and_bacterial_community_composition_in_soils_from_the_craibstone_experimental_farm,1163.0,1163
emp_friedman_alaska_peat_soils,1163.0,1163
emp_geographic_distance_and_ph_drive_bacterial_distribution_in_alkaline_lake_sediments_across_tibetan_plateau,1163.0,1163
emp_global_patterns_of_16s_rrna_diversity_at_a_depth_of_millions_of_sequences_per_sample_(5prime),1163.0,1163
emp_great_lake_microbiome,1163.0,1163
emp_gut_microbiome_of_hibernating_bears,1163.0,1163
emp_gut_microbiota_and_health_in_wild_and_captive_colobine_primates,1163.0,1163
emp_gut_microbiota_of_phyllostomid_bats_that_span_a_breadth_of_diets,1163.0,1163
emp_halophilic_communities_as_a_source_for_novel_lignocellulolytic_enzymes,1163.0,1163
emp_hawaii_kohala_volcanic_soils,1163.0,1163
emp_human_and_environmental_impacts_on_river_sediment_microbial_communities,1163.0,1163
emp_impact_of_fire_on_active_layer_and_permafrost_microbial_communities_and_metagenomes_in_an_upland_alaskan_boreal_forest,1163.0,1163
emp_influence_of_tillage_practices_on_soil_microbial_diversity_and_activity_in_a_long-term_corn_experimental_field_under_continuous_maize_production,1163.0,1163
emp_intergenerational_lizard_lounges_do_not_explain_variation_in_the_gut_microbiomes_of_green_iguanas,1163.0,1163
emp_kilauea_geothermal_soils_and_biofilms,1163.0,1163
emp_laboratory-directed_research_and_development_for_biological_carbon_sequestration,1163.0,1163
emp_long-term_seasonal_development_in_selected_lakes_of_northeast_germany,1163.0,1163
emp_long-term_soil_productivity_project,1163.0,1163
emp_longitudinal_analysis_of_microbial_interaction_between_humans_and_the_indoor_environment,1163.0,1163
emp_malaysia_lambir_soils,1163.0,1163
emp_matagenomic_and_metaproteomic_analysis_of_hydrocarbon-contaminated_antarctic_soils,1163.0,1163
emp_mcguire_nicaragua_coffee_soil,1163.0,1163
emp_metagenomic_analysis_of_rio_de_janeiro_coastline,1163.0,1163
emp_microbial_communities_of_the_deep_unfrozen:_do_microbes_in_taliks_increase_permafrost_carbon_vulnerability?,1163.0,1163
emp_microbial_community_of_the_bulk_soil_and_rhizosphere_of_rice_plants_over_its_lifecycle,1163.0,1163
emp_microbial_diversity_in_arctic_freshwaters_is_structured_by_inoculation_of_microbes_from_soils,1163.0,1163
emp_microbial_diversity_in_soil__sand_dune_and_rock_substrates_of_the_thar_monsoon_desert__india,1163.0,1163
emp_microbiome_of_honey_bees_from_puerto_rico,1163.0,1163
emp_microbiome_of_seba's_short-tailed_bats__carollia_perspicillata,1163.0,1163
emp_microbiota_of_freshwater_fish_slime_and_gut_from_catostomids_in_colorado_water_system,1163.0,1163
emp_mission_bay_sediment_viromes,1163.0,1163
emp_moving_pictures_of_the_human_microbiome,1163.0,1163
emp_myrold_alder_fir,1163.0,1163
emp_myrold_oregon_transect,1163.0,1163
emp_native_exotic_precipitation_study_in_temple__tx__usa,1163.0,1163
emp_neon:_directions_and_resources_for_long-term_monitoring_in_soil_microbial_ecology,1163.0,1163
emp_new_zealand_free_air_co2_enrichment_(face)_soil_samples,1163.0,1163
emp_ocean_acidification_shows_negligible_impacts_on_high-latitude_bacterial_community_structure_in_coastal_pelagic_mesocosms,1163.0,1163
emp_panama_soil_precipitation_gradient,1163.0,1163
emp_polluted_polar_coastal_sediments,1163.0,1163
emp_prokaryote_populations_of_extant_microbialites_along_a_depth_gradient_in_pavilion_lake__british_columbia__canada,1163.0,1163
emp_protist_diversity_in_a_permanently_ice-covered_antarctic_lake_during_the_polar_night_transition,1163.0,1163
emp_puerto_rico_and_plantanal_samples_for_the_western_acculturation_project,1163.0,1163
emp_recovery_of_biological_soil_crust-like_microbial_communities_in_previously_submerged_soils_of_glen_canyon,1163.0,1163
emp_rees_vulcano_island_mediterranean_sea,1163.0,1163
emp_replicating_the_microbial_community_and_water_quality_performance_of_full-scale_slow_sand_filters_in_laboratory-scale_filters,1163.0,1163
emp_resistance_and_adaptation_to_the_antibiotic_monensin_by_the_anaerobic_digestion_microbiome,1163.0,1163
emp_responses_of_soil_fungi_to_logging_and_oil_palm_agriculture_in_southeast_asian_tropical_forests,1163.0,1163
emp_saliva_from_obese_individuals_suppresses_the_release_of_aroma_compounds_from_wine,1163.0,1163
emp_samples_presented_at_emp_conference_june_2011_shenzhen,1163.0,1163
emp_skin_biogeography_comparison,1163.0,1163
emp_soil_bacterial_diversity_in_the_semi-arid_steppe_of_northern_mongolia,1163.0,1163
emp_spatial_scale_drives_patterns_in_soil_bacterial_diversity,1163.0,1163
emp_starling_eggshells_from_spain,1163.0,1163
emp_the_ecological_dichotomy_of_ammonia-oxidizing_archaea_and_bacteria_in_the_hyper-arid_soils_of_the_antarctic_dry_valleys_(nztabs),1163.0,1163
emp_the_gut_microbiota_distinguishes_gi-healthy_and_-unhealthy_captive_colobineprimates,1163.0,1163
emp_the_oral_and_skin_microbiomes_of_captive_komodo_dragons_are_significantly_shared_with_their_habitat,1163.0,1163
emp_the_role_of_macrobiota_in_structuring_microbial_communities_along_rocky_shores,1163.0,1163
emp_the_soil_microbiome_influences_grapevine-associated_microbiota_(hiseq),1163.0,1163
emp_the_soil_microbiome_influences_grapevine-associated_microbiota_(miseq),1163.0,1163
emp_understanding_cultivar-specificity_and_soil_determinants_of_the_cannabis_microbiome,1163.0,1163
emp_whole-grain_wheat_consumption_reduces_inflammation_in_a_randomized_controlled_trial_on_overweight_and_obese_subjects_with_unhealthy_dietary_and_lifestyle_behaviors:_role_of_polyphenols_bound_to_cereal_dietary_fiber,1163.0,1163
entisols,188.0,188
extreme_environment,1802.0,1802
gelisols,188.0,188
genome_availability,506.0,506
gram_stain,2078.0,9245
high_ph,23.0,23
host_lineage,416.0,416
host_name,416.0,416
human_microbiome_body_site,911.0,911
human_pathogen,1755.0,1755
id,506.0,506
inceptisols,188.0,188
latitude,22.0,22
longitude,22.0,22
low_ph,23.0,23
low_productivity,23.0,23
metasub_(faux?)_leather,2635.0,2635
metasub_(probable)_polypropylene_fiber,2635.0,2635
metasub_-,2635.0,2635
metasub_air,2635.0,2635
metasub_air_control,2635.0,2635
metasub_amaguchi,2635.0,2635
metasub_antarctica,2635.0,2635
metasub_artificial_fiber,2635.0,2635
metasub_asbestos,2635.0,2635
metasub_auckland,2635.0,2635
metasub_baltimore,2635.0,2635
metasub_barcelona,2635.0,2635
metasub_belfast,2635.0,2635
metasub_berlin,2635.0,2635
metasub_birmingham,2635.0,2635
metasub_bmat,2635.0,2635
metasub_bogota,2635.0,2635
metasub_bradford,2635.0,2635
metasub_brisbane,2635.0,2635
metasub_bristol,2635.0,2635
metasub_bury,2635.0,2635
metasub_cairngorm,2635.0,2635
metasub_carpet,2635.0,2635
metasub_carpet_fabric,2635.0,2635
metasub_cell-phone_screen_and_plastic_cover,2635.0,2635
metasub_cell_cover_and_screen,2635.0,2635
metasub_cement,2635.0,2635
metasub_ceramic,2635.0,2635
metasub_chair,2635.0,2635
metasub_cloth,2635.0,2635
metasub_concrete,2635.0,2635
metasub_control_air,2635.0,2635
metasub_copper_wire,2635.0,2635
metasub_denver,2635.0,2635
metasub_doha,2635.0,2635
metasub_east_asia,2635.0,2635
metasub_eastbourne,2635.0,2635
metasub_eden,2635.0,2635
metasub_edinborough,2635.0,2635
metasub_europe,2635.0,2635
metasub_fabric,2635.0,2635
metasub_fairbanks,2635.0,2635
metasub_fake_leather,2635.0,2635
metasub_faux_leather,2635.0,2635
metasub_flesh,2635.0,2635
metasub_floor,2635.0,2635
metasub_formica,2635.0,2635
metasub_fukuoka,2635.0,2635
metasub_glass,2635.0,2635
metasub_glass_rubber_plastic,2635.0,2635
metasub_granite,2635.0,2635
metasub_hamilton,2635.0,2635
metasub_hand,2635.0,2635
metasub_hanoi,2635.0,2635
metasub_hong_kong,2635.0,2635
metasub_human_hand,2635.0,2635
metasub_ilorin,2635.0,2635
metasub_islington,2635.0,2635
metasub_jaywick,2635.0,2635
metasub_kensington,2635.0,2635
metasub_kuala_lumpur,2635.0,2635
metasub_kyiv,2635.0,2635
metasub_lands_end,2635.0,2635
metasub_leather,2635.0,2635
metasub_leather_seat,2635.0,2635
metasub_lisbon,2635.0,2635
metasub_london,2635.0,2635
metasub_marble,2635.0,2635
metasub_marble-like,2635.0,2635
metasub_marseille,2635.0,2635
metasub_metal,2635.0,2635
metasub_metal/plastic,2635.0,2635
metasub_metal/rubber,2635.0,2635
metasub_metal__painted_plastic__plastic,2635.0,2635
metasub_metal_and_formica,2635.0,2635
metasub_metal_and_marble,2635.0,2635
metasub_metal_plastic,2635.0,2635
metasub_metal_rubber,2635.0,2635
metasub_metal_with_wooden_handle,2635.0,2635
metasub_metal_wood,2635.0,2635
metasub_middle_east,2635.0,2635
metasub_minneapolis,2635.0,2635
metasub_naples,2635.0,2635
metasub_neg_control,2635.0,2635
metasub_negative_control,2635.0,2635
metasub_negative_control_(air),2635.0,2635
metasub_new_ork_city,2635.0,2635
metasub_newcastle,2635.0,2635
metasub_north_america,2635.0,2635
metasub_oceania,2635.0,2635
metasub_offa,2635.0,2635
metasub_oslo,2635.0,2635
metasub_other_control,2635.0,2635
metasub_painted_metal,2635.0,2635
metasub_painted_wood,2635.0,2635
metasub_paper,2635.0,2635
metasub_paris,2635.0,2635
metasub_plaster,2635.0,2635
metasub_plastic,2635.0,2635
metasub_plastic_and_glass,2635.0,2635
metasub_plastic_and_rubber,2635.0,2635
metasub_plastic_wool_like_belt,2635.0,2635
metasub_pole,2635.0,2635
metasub_polyester,2635.0,2635
metasub_porto,2635.0,2635
metasub_pos_control,2635.0,2635
metasub_positive_control,2635.0,2635
metasub_positive_control_zymo,2635.0,2635
metasub_pvc,2635.0,2635
metasub_rio_de_janeiro,2635.0,2635
metasub_rope,2635.0,2635
metasub_rubber,2635.0,2635
metasub_sacramento,2635.0,2635
metasub_santiago,2635.0,2635
metasub_seat,2635.0,2635
metasub_sendai,2635.0,2635
metasub_seoul,2635.0,2635
metasub_singapore,2635.0,2635
metasub_skin,2635.0,2635
metasub_sofia,2635.0,2635
metasub_south_america,2635.0,2635
metasub_st_louis,2635.0,2635
metasub_stainless_steel,2635.0,2635
metasub_stockholm,2635.0,2635
metasub_stone,2635.0,2635
metasub_sub_saharan_africa,2635.0,2635
metasub_swansea,2635.0,2635
metasub_synthetic,2635.0,2635
metasub_synthetic_leather,2635.0,2635
metasub_taipei,2635.0,2635
metasub_tile,2635.0,2635
metasub_tiles,2635.0,2635
metasub_tokyo,2635.0,2635
metasub_touchscreen_surface,2635.0,2635
metasub_tsuruoka,2635.0,2635
metasub_vienna,2635.0,2635
metasub_vinyl,2635.0,2635
metasub_water,2635.0,2635
metasub_wood,2635.0,2635
metasub_zurich,2635.0,2635
mollisols,188.0,188
optimal_ph,788.0,788
optimal_temperature,1298.0,1298
pathogenicity,1042.0,1042
plant_pathogen,1425.0,1425
pmid,76.0,76
rank,20779.0,20779
salinity_concentration/range(w/v),506.0,506
sand_rock_ice,188.0,188
scientific_name,20779.0,20779
spore_forming,1409.0,2066
